Name,zPR,ADP,
Seth Lugo,-3.088,538.2,
Dixon Machado,-3.11,555.8,-3.11
Daniel Norris,-3.127,464,
Ben Gamel,-3.13,454.9,-3.13
Matt Boyd,-3.137,484.2,
Trevor May,-3.144,681.4,
Gerardo Parra,-3.19,363,-3.19
Sam Dyson,-3.192,465.6,
Daniel Mengden,-3.230,402.3,
Shohei Ohtani,-3.25,94.8,-3.25
Jhoulys Chacin,-3.253,353.8,
Johan Camargo,-3.28,443.4,-3.28
Adeiny Hechavarria,-3.29,535.8,-3.29
Hunter Renfroe,-3.30,319.8,-3.30
Mike Fiers,-3.302,533.6,
Reynaldo Lopez,-3.351,369.2,
Joey Wendle,-3.41,672.6,-3.41
JC Ramirez,-3.429,538.3,
Austin Barnes,-3.44,209.7,-3.44
Chris Iannetta,-3.46,261.9,-3.46
Jose Urena,-3.482,410.2,
Jesse Winker,-3.51,318.8,-3.51
Wily Peralta,-3.534,678.5,
Marco Gonzales,-3.549,476,
Kendall Graveman,-3.585,461,
Dillon Peters,-3.593,583.9,
Mark Leiter,-3.640,573.9,
Antonio Senzatela,-3.653,660,
Jesse Chavez,-3.661,703.8,
Martin Prado,-3.67,562.2,-3.67
Matt Wieters,-3.76,327.8,-3.76
Daniel Robertson,-3.78,675.5,-3.78
Francisco Cervelli,-3.82,424.1,-3.82
Jarlin Garcia,-3.823,661.6,
Colin Moran,-3.83,389.6,-3.83
Austin Jackson,-3.85,536.6,-3.85
Trevor Williams,-3.927,434.4,
Manny Pina,-3.94,349.1,-3.94
Melky Cabrera,-3.94,366.3,-3.94
Trevor Cahill,-3.990,578.6,
Doug Fister,-3.992,551.2,
Nick Tropeano,-4.011,598.3,
Cheslor Cuthbert,-4.02,579.4,-4.02
Robert Gsellman,-4.035,576.3,
Martin Perez,-4.071,646.7,
Alex Avila,-4.14,326.6,-4.14
Ty Blach,-4.223,585.6,
Jordan Zimmermann,-4.279,571,
Boog Powell,-4.30,591.7,-4.30
Hisashi Iwakuma,-4.333,673.9,
Huston Street,-4.351,668.1,
Chase Whitley,-4.366,668.9,
J.T. Riddle,-4.38,676.4,-4.38
Adam Frazier,-4.42,417.8,-4.42
Joe Biagini,-4.417,581.4,
Steven Wright,-4.471,647.5,
A.J. Cole,-4.521,527.4,
Jose Martinez,-4.53,251.3,-4.53
Matt Moore,-4.554,473.4,
Ariel Miranda,-4.594,576.1,
Jeff Hoffman,-4.638,628,
Roberto Perez,-4.71,564.8,-4.71
Ben Lively,-4.733,591.9,
Yunel Escobar,-4.73,673.1,-4.73
James Shields,-4.754,599.6,
Caleb Joseph,-4.79,473.1,-4.79
Shelby Miller,-4.815,669.2,
Chris Martin,-4.840,686.3,
Luis Urias,-4.87,593.5,-4.87
Tucker Barnhart,-4.92,322.5,-4.92
Wade Miley,-4.975,635.5,
Kyle Freeland,-4.999,571.6,
Jeremy Hellickson,-5.028,628.6,
Erick Fedde,-5.074,628.6,
Hector Santiago,-5.076,681.3,
Junior Guerra,-5.087,653.7,
Nick Kingham,-5.217,701.6,
Tyson Ross,-5.229,486,
Amir Garrett,-5.235,463.1,
Brett Anderson,-5.242,688.3,
Braxton Lee,-5.28,659.7,-5.28
Buck Farmer,-5.290,690.2,
Miguel Rojas,-5.29,689.6,-5.29
Ryan Merritt,-5.346,677.7,
Odrisamer Despaigne,-5.369,655.5,
Miguel Gonzalez,-5.389,660.8,
Robbie Erlin,-5.480,662.4,
Homer Bailey,-5.516,512.5,
Andrew Cashner,-5.603,503.6,
Adalberto Mejia,-5.627,600.1,
Paul Blackburn,-5.642,668.7,
Chad Bettis,-5.840,643.8,
Colin Rea,-5.870,714.2,
Parker Bridwell,-5.892,503.5,
Sandy Alcantara,-5.950,541.5,
Cody Reed,-6.020,707.1,
Andrew Moore,-6.058,660.8,
Chris Tillman,-6.123,644.2,
Tyler Beede,-6.134,641.6,
Zach Eflin,-6.501,706.9,
Burch Smith,-6.682,707.3,
Max Fried,-6.758,551.4,
Miguel Castro,-6.879,652.5,
Adam Conley,-7.166,670.8,
Yohander Mendez,-7.469,663.5,
Eddie Butler,-7.517,684.7,
Carson Fulmer,-7.557,521.3,
Robert Stephenson,-7.937,472.5,
